home_language,pct_of_students,county_district_school_code,academic_year
Malayalam,1.9,03-1130-060,2018-2019
Chinese,1.6,03-1130-060,2018-2019
Korean,1.4,03-1130-060,2018-2019
English,54.4,03-1130-070,2018-2019
Spanish,20.9,03-1130-070,2018-2019
Other,13.3,03-1130-070,2018-2019
Tagalog,5.7,03-1130-070,2018-2019
Filipino,3.2,03-1130-070,2018-2019
Korean,2.5,03-1130-070,2018-2019
English,65.7,03-1130-080,2018-2019
Spanish,15.3,03-1130-080,2018-2019
Other,11.0,03-1130-080,2018-2019
Tagalog,4.8,03-1130-080,2018-2019
Arabic,1.7,03-1130-080,2018-2019
Korean,1.5,03-1130-080,2018-2019
English,54.2,03-1230-040,2018-2019
Spanish,19.0,03-1230-040,2018-2019
Other,11.1,03-1230-040,2018-2019
Polish,10.8,03-1230-040,2018-2019
Arabic,2.6,03-1230-040,2018-2019
Korean,2.3,03-1230-040,2018-2019
English,52.9,03-1230-080,2018-2019
Other,19.6,03-1230-080,2018-2019
Spanish,14.7,03-1230-080,2018-2019
Hindi,5.6,03-1230-080,2018-2019
Polish,4.9,03-1230-080,2018-2019
Telugu,2.4,03-1230-080,2018-2019
English,44.0,03-1270-050,2018-2019
Korean,19.0,03-1270-050,2018-2019
Other,17.4,03-1270-050,2018-2019
Spanish,8.8,03-1270-050,2018-2019
Japanese,5.6,03-1270-050,2018-2019
Russian,5.3,03-1270-050,2018-2019
English,41.0,03-1270-300,2018-2019
Other,19.6,03-1270-300,2018-2019
Korean,19.2,03-1270-300,2018-2019
Japanese,8.5,03-1270-300,2018-2019
Russian,6.3,03-1270-300,2018-2019
Spanish,5.5,03-1270-300,2018-2019
English,87.4,03-1345-050,2018-2019
Spanish,5.9,03-1345-050,2018-2019
Other,4.4,03-1345-050,2018-2019
Arabic,1.3,03-1345-050,2018-2019
Gujarati,1.0,03-1345-050,2018-2019
English,85.4,03-1345-060,2018-2019
Spanish,6.0,03-1345-060,2018-2019
Other,5.0,03-1345-060,2018-2019
Polish,3.6,03-1345-060,2018-2019
English,87.8,03-1345-070,2018-2019
Spanish,4.3,03-1345-070,2018-2019
Polish,3.3,03-1345-070,2018-2019
Arabic,2.0,03-1345-070,2018-2019
Other,1.6,03-1345-070,2018-2019
Macedonian,1.0,03-1345-070,2018-2019
English,75.3,03-1345-080,2018-2019
Spanish,6.6,03-1345-080,2018-2019
Other,6.6,03-1345-080,2018-2019
Polish,6.4,03-1345-080,2018-2019
Macedonian,2.9,03-1345-080,2018-2019
Arabic,2.2,03-1345-080,2018-2019
English,77.3,03-1345-090,2018-2019
Spanish,10.3,03-1345-090,2018-2019
Other,5.2,03-1345-090,2018-2019
Polish,3.9,03-1345-090,2018-2019
Gujarati,1.7,03-1345-090,2018-2019
Arabic,1.7,03-1345-090,2018-2019
English,84.1,03-1360-050,2018-2019
Other,7.1,03-1360-050,2018-2019
Spanish,6.1,03-1360-050,2018-2019
Korean,1.4,03-1360-050,2018-2019
Chinese,1.2,03-1360-050,2018-2019
English,79.6,03-1360-060,2018-2019
Spanish,10.0,03-1360-060,2018-2019
Other,6.3,03-1360-060,2018-2019
"Greek, Modern (1453-)",1.6,03-1360-060,2018-2019
Korean,1.3,03-1360-060,2018-2019
Japanese,1.3,03-1360-060,2018-2019
English,80.0,03-1360-070,2018-2019
Spanish,9.8,03-1360-070,2018-2019
Other,5.6,03-1360-070,2018-2019
Korean,2.3,03-1360-070,2018-2019
Chinese,1.3,03-1360-070,2018-2019
Polish,1.0,03-1360-070,2018-2019
English,66.3,03-1370-040,2018-2019
Spanish,25.4,03-1370-040,2018-2019
Other,5.2,03-1370-040,2018-2019
Korean,3.1,03-1370-040,2018-2019
English,56.0,03-1370-060,2018-2019
Spanish,40.8,03-1370-060,2018-2019
Other,3.2,03-1370-060,2018-2019
English,68.3,03-1370-070,2018-2019
Spanish,29.6,03-1370-070,2018-2019
Other,2.1,03-1370-070,2018-2019
English,62.0,03-1370-076,2018-2019
Spanish,37.0,03-1370-076,2018-2019
Other,1.1,03-1370-076,2018-2019
English,51.6,03-1370-086,2018-2019
Spanish,45.2,03-1370-086,2018-2019
Other,3.2,03-1370-086,2018-2019
English,42.9,03-1380-040,2018-2019
Korean,20.2,03-1380-040,2018-2019
Other,16.0,03-1380-040,2018-2019
Chinese,12.9,03-1380-040,2018-2019
Spanish,4.3,03-1380-040,2018-2019
"Greek, Modern (1453-)",3.7,03-1380-040,2018-2019
English,63.1,03-1380-060,2018-2019
Korean,15.4,03-1380-060,2018-2019
Other,10.9,03-1380-060,2018-2019
Chinese,6.3,03-1380-060,2018-2019
Hindi,2.1,03-1380-060,2018-2019
Spanish,2.1,03-1380-060,2018-2019
English,63.7,03-1450-050,2018-2019
Other,13.6,03-1450-050,2018-2019
Spanish,9.1,03-1450-050,2018-2019
Russian,7.8,03-1450-050,2018-2019
Hebrew,4.5,03-1450-050,2018-2019
Korean,1.4,03-1450-050,2018-2019
English,57.7,03-1450-060,2018-2019
Other,15.5,03-1450-060,2018-2019
Russian,12.8,03-1450-060,2018-2019
Spanish,7.2,03-1450-060,2018-2019
Hebrew,4.6,03-1450-060,2018-2019
Chinese,2.2,03-1450-060,2018-2019
English,62.5,03-1450-070,2018-2019
Other,16.2,03-1450-070,2018-2019
Spanish,10.1,03-1450-070,2018-2019
