county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Mercer,West Windsor-Plainsboro Regional School District,Thomas R Grover Middle School,10 SOUTHFIELD ROAD,West Windsor,NJ,08550,,21-5715-035
Bergen,Northern Valley Regional High School District,Northern Valley Regional High School at Old Tappan,140 Central Avenue,Old Tappan,NJ,07675,,03-3710-060
Hudson,North Bergen School District,Horace Mann Elementary School,1215  83RD STREET,NORTH BERGEN,NJ,07047,4215,17-3610-070
Bergen,Cliffside Park School District,School #3,397 PALISADE AVENUE,CLIFFSIDE PARK,NJ,07010,,03-0890-050
Cumberland,Greenwich Township School District,Morris Goodwin School,839 YE GREATE STREET,GREENWICH,NJ,08323,0360,11-1820-060
Middlesex,New Brunswick School District,Paul Robeson Community School for the Arts,199 Commercial Ave,NEW BRUNSWICK,NJ,08901,2734,23-3530-123
Warren,Frelinghuysen Township School District,Frelinghuysen Township Elementary School,780 ROUTE 94,JOHNSONBURG,NJ,07846,,41-1670-050
Essex,ORANGE BOARD OF EDUCATION School District,Park Avenue Elementary School,231 PARK AVE,ORANGE,NJ,07050,4102,13-3880-120
Morris,Long Hill Township School District,Central Middle School,90 Central Avenue,Stirling,NJ,07980,,27-4000-030
Mercer,East Windsor Regional School District,Perry L. Drew Elementary School,70 TWIN RIVERS DRIVE NORTH,EAST WINDSOR,NJ,08520,,21-1245-075
Cumberland,Upper Deerfield Township School District,Elizabeth F. Moore School,1361 Highway 77,SEABROOK,NJ,08302,4261,11-5300-060
Passaic,Clifton Public School District,School #9,25 BRIGHTON ROAD,CLIFTON,NJ,07012,,31-0900-150
Bergen,Garfield Public School District,Garfield Public Preschool Annex,464 OUTWATER LANE,GARFIELD,NJ,07026,,03-1700-086
