gs_school_name,gs_school_address,gs_school_link,rating
Bordentown Reg Middle School,"50 Dunns Mill Road, Bordentown, NJ, 08505",https://www.greatschools.org/new-jersey/bordentown/4513-Bordentown-Reg-Middle-School/,4.0
Patrick F Healy Middle School,"116 Hamilton Street, East Orange, NJ, 07017",https://www.greatschools.org/new-jersey/east-orange/455-Patrick-F--Healy-Middle-School/,4.0
Burlington Township Middle School at Springside,"1600 BURLINGTON BY PASS, Burlington, NJ, 08016",https://www.greatschools.org/new-jersey/burlington/4552-Btms--At--Springside/,4.0
Alder Ave Middle School,"25 Alder Avenue, Egg Harbor Township, NJ, 08234",https://www.greatschools.org/new-jersey/egg-harbor-township/4554-Alder-Ave-Middle-School/,4.0
Fernwood Middle School,"4034 Fernwood Avenue, Egg Harbor Township, NJ, 08234",https://www.greatschools.org/new-jersey/egg-harbor-township/4555-Fernwood-Middle-School/,4.0
Chessie Dentley Roberts Academy School No. 30,"730 PENNSYLVANIA AVE, Elizabeth, NJ, 07208",https://www.greatschools.org/new-jersey/elizabeth/4556-No-30-Ronald-Reagan/,4.0
North Hanover Township Upper Elementary School,"351 MONMOUTH ROAD, Wrightstown, NJ, 08652",https://www.greatschools.org/new-jersey/wrightstown/4563-North-Hanover-Township-Upper-Elementary-School/,4.0
Eastampton Community School,"1 STUDENT DRIVE, Eastampton Township, NJ, 08060",https://www.greatschools.org/new-jersey/mount-holly/467-Eastampton-Community-School/,4.0
Woodmere Elementary School,"65 Raleigh Court, Eatontown, NJ, 07724",https://www.greatschools.org/new-jersey/eatontown/473-Woodmere-Elementary-School/,4.0
Edison High School,"50 Boulevard of the Eagles, Edison, NJ, 08817",https://www.greatschools.org/new-jersey/edison/477-Edison-High-School/,4.0
"Number 15, Christopher Columbus Elementary School","511 3rd Avenue, Elizabeth, NJ, 07202",https://www.greatschools.org/new-jersey/elizabeth/519-Number-15-Christopher-Columbus-Elementary-School/,4.0
No 3 Lacorte Peterstown,"700 2nd Avenue, Elizabeth, NJ, 07202",https://www.greatschools.org/new-jersey/elizabeth/528-No-3-Lacorte-Peterstown/,4.0
Gilbert Avenue Elementary School,"151 Gilbert Avenue, Elmwood Park, NJ, 07407",https://www.greatschools.org/new-jersey/elmwood-park/534-Gilbert-Avenue-Elementary-School/,4.0
